0 1 0.737684 0.544697 0.402696 0.298198 0.221504 0.164565 0.122691 0.0920063 0.0694165 0.0524255 0.0397228 0.0302653 0.0231243 0.0175084 0.0129517 0.0090949 0.0057214 0.00270874 1e-06 
1 -1909.75 -1906.38 -1906.23 -1912.15 -1906.55 -1909.77 -1912.96 -1912.49 -1906.69 -1912.91 -1946.01 -1934.56 -1939.13 -1913.8 -1984.72 -2039.74 -1936.66 -1940.47 -2040.43 -2070.8 
1 -1907.22 -1908.09 -1906.49 -1909.17 -1909.19 -1913.8 -1911.23 -1911.57 -1912.96 -1932.48 -1906.23 -1934.56 -1954.49 -2040.43 -2077.68 -1940.47 -1984.72 -1927.75 -1906.97 -2108.96 
1 -1906.28 -1906.23 -1906.49 -1912.11 -1909.62 -1909.17 -1921.1 -1927.75 -1921.15 -1918.43 -1933.6 -1949.52 -1954.49 -1913.8 -1940.47 -1952.55 -2040.43 -1950.76 -1913.68 -2112.35 
1 -1905.82 -1905.8 -1909.92 -1906.23 -1913.8 -1915.78 -1909.79 -1920.83 -1912.11 -1950.76 -1914.26 -1979.06 -1913.68 -1952.04 -1949.52 -1989.69 -2052.18 -2095.68 -1958.3 -2040.43 
1 -1907.21 -1906.85 -1906.97 -1912.37 -1909.29 -1910.12 -1919.65 -1906.83 -1907.81 -1920.83 -1938.08 -1952.04 -1953.84 -1909.92 -1913.8 -2049.43 -1949.28 -1989.69 -2155.83 -2298.57 
1 -1905.88 -1909.92 -1905.88 -1909.29 -1906.97 -1911.34 -1907.15 -1910.12 -1953.84 -1916.68 -1905.77 -1908.76 -1932.23 -2057.28 -1939.06 -1952.04 -2067.26 -1912.37 -1985.53 -2230.29 
1 -1905.88 -1906.47 -1906.97 -1916.68 -1907.54 -1907.92 -1909.92 -1911.85 -1911.51 -1908.76 -1931.53 -1932.67 -1971.52 -2045.38 -1942.84 -1962.18 -2002.44 -1912.37 -1912.24 -2196.48 
1 -1907.92 -1908.62 -1908.04 -1906.02 -1910.4 -1905.91 -1913.59 -1913.48 -1912.37 -1932.05 -1932.67 -1941.64 -1962.18 -1916.68 -2062.68 -1919.3 -1992.47 -2091.82 -2042.94 -2196.48 
1 -1907.76 -1905.9 -1906.6 -1906.17 -1910.94 -1908.62 -1916.68 -1909.33 -1914.76 -1923.48 -1932.67 -1928 -1919.3 -1945.37 -1992.47 -2187.19 -1968.21 -2022.82 -2062.68 -1949.24 
